Rating,Title,Comment,Length,Scores,Compound,Sentiment_Score,Rating_to_Sentiment
1,airasia agent tell truth,booked flight travel airasia opodo never use either made mistake name ticket eventually deal directly airasia told higher management approved full refund rebooked flight reservation number could come back would issue full refund th february cost aud already paid euro january still waiting promised refund live chat several time raised complaint advised travel credit used day live ireland acceptable would rebooked flight promised full refund would reverted opodo sort matter made mistake customer service airasia apalling tell truth,457,"{'neg': 0.077, 'neu': 0.733, 'pos': 0.19, 'compound': 0.8126}",0.8126,positive,negative
1,dont trust fake airline customer,dont trust fake airline customer support looser pathetic service provider among airline due system server fault facing serious issue caused loss huge amount cause serious mental trauma booking trip member prune bangalore one guest name replicate ticket twice asked rectifier customer care support told guest name mistakenly replicate server refund ticket value refusing case number reference pnrno zpwxi chat u listen customer support recording voice hence call recording hope soon issue resolve,424,"{'neg': 0.219, 'neu': 0.525, 'pos': 0.256, 'compound': 0.565}",0.565,positive,negative
3,overall airport review,malaysian would like suggest country need various improvement establish better impression foreign tourist visiting country improvement definitely boost attract foreign tourist visit country base observation found directory signboard written bahasa malaysia bahasa inggeris since many tourist various country japan china korea might well versed bahasa inggeris course bahasa malaysia thus one improvement include foreign language japanese korean chinese directory signboard secondly observed another issue improvement made attitude custom officer one case personally observed noticed majority officer duty restless impatient japanese tourist asking direction carry custom check could understand language directory signboard custom officer replied rudely showed tourist direction impolite impatient attitude addition found officer guide tourist along way flight landed shall collect baggage even worse baggage claim area crowded messy people queuing properly collect baggage officer duty give instruction assist people make sure cross yellow line waiting baggage like pandemonium apart baggage collected conveyor belt badly thrown good order many people could collect baggage smoothly forced pull baggage conveyor belt definitely causing damage baggage example scratching baggage sure reason issue strongly suggest strict polite officer shall placed help situation lastly definitely hope malaysia airport take issue seriously seek improvement soonest possible foreign tourist good experience either visiting flying back home country airport,1337,"{'neg': 0.113, 'neu': 0.66, 'pos': 0.228, 'compound': 0.9786}",0.9786,positive,neutral
1,flew hyderabad sydney,flew hyderabad sydney march booking code matthew heidema learned day baggage paid desk man said would cost rupee kg bag said let unload stuff reorganize got kg said charge rupee still seemed expensive looked online find regular price would find anything quoted phoned customer service investigate learned man charged kg worth luggage pay rupee half amount nothing could directed something called ava need someone help feel completely ripped lied guy hyderabad still know talk,402,"{'neg': 0.076, 'neu': 0.866, 'pos': 0.058, 'compound': -0.1226}",-0.1226,neutral,negative
1,customer care service recovery shamble,flown airasia many asian holiday year low cost carrier generally get safe happy however flight always delay change reschedule flight booking easter syd phuket feb informed homebound flight cancelled airline new flight delayed u hour getting home told change refund request go online system saga start still continuing online form submitted airasia get working day reply even read request pure cut paste template requesting info usually day reply back email get reply airasia meaning get email care team could reached day air asia sends email say close case due response request totally ignored get standardised templated response also endlessly get email closed following phone customer care polite zero authority help escalate request correct department start new day wait whereupon send nice reply requesting reconfirmation passenger name info required smart saved every correspondence pdf entire saga back onto online form reply info requirement bank account detail want reconfirm refund get reply new case number day get closing case soon due reply call email continue day later phone call email yet airasia dragged simple case customer care saga huge lack understanding treat customer system shamble customer service staff authority beyond taking phone call passing message along wake airasia run business totally lack customer care,1136,"{'neg': 0.079, 'neu': 0.733, 'pos': 0.188, 'compound': 0.9748}",0.9748,positive,negative
1,totally incompetent fault ignoring request,first time used airasia year anniversary break around asia cancelled retired flight put next flight due transfer work requested changed earlier flight customer support email airasia webpage twitter disgrace time didnt listen responded stuff didnt day wasted enough time requested full refund entitled ignored request instead rescheduled flight completely wrong flight given idea time might ok unexpected change happen expect hell save stress go another airline worth,400,"{'neg': 0.208, 'neu': 0.625, 'pos': 0.167, 'compound': -0.6772}",-0.6772,negative,negative
1,fraudsters would eu would fraudulent trade practice penalty annual sale,suppoprt case flight wanted change date fight tried airasia mobile application retruned unspecified error modification booking trie dto website changed exactly flight exactly airport system returned error message due airport code change please aware may fare discrepancy change flight process change please contact live chat agent lodge request online form contact local call center apology inconvenience caused thank complete non sense airport code changed manner followed instruction form last error message contacte dtheir live chat agent agent nr really dumb albeit booked flight big member discount booking show also big profile said booking wa snot linked big profile allegedly repaired reason wasnot able modify booking online able proceed course didnt work system returned exactly error message wasted time communication dumb agent nr contacted live chat agent nr heraing matter hang wasted time communication dumb agent nr contacted live chat agent nr told problem airasia system unable modify booking visit person airasia sale office authorised agent make change date booking impplying error message wrog changing airport code joke also able circumstance modify booking via live chat agent phone agent channel responded b location airasia sale office even authroized agen quite time booked online relied able cahnge date flight remotedly also without need person visiting airasia agent premise fault airasia system working taht unable modify booking also system working live agent unable well much smelling garbage simply wrog misleading announcement feedback airasia actually putting obstacle exercising right change date flight would eu australia also according malaysia law also putting kind obstacle negatively affect lawful consumer exercising right consitutues called unfair trade parctices punishable amny eu country annaul sale penalty authority charge penalty live agent nr responded contacted gmail citing correctly time email adress perform requested change date flight told unable execute change date flight remotedly absence mode pure failure air asia let refund go incur extra expense becuas eof modifying boooking online fare screenshoted wanted swap new date anymore available guess email send course pure lie would send flight depart around today woke breakfast tried access modification booking option online may working know sure error message appeared chose desired new flight date time press proceed button told flight fare rule allow change flight date le hour flight separate note trying yesterday establish detail fare rule guess nowhere eb found neither online airline open booking access ahve confirmation email also tried establsih fare rule particular itinerary airasia website offer theroretical option ala try use enetreing airport origin detsination say error error airasia failed system online mobile app diy mofification date eligible available airasia failed system modifictaion available also via live chat agent phone per live chat agent nr communication air asia failed resolve problem initially sought modification date even airasia grossly greatly failed keep promise contact email yesterday make change date said booking airasia practicised unfair trade practice also malaysian consumer protection law atke lok complain aboput authorties ticket old date airasia system say behind hour rescheduling flight yes waited tehir email mrning stul sweet dream job wake uo check email arrived yesterday chat live agent nr around try execute modification want refund dont want fy anymore airasia fund salary unprofessional barinless people book flight itinerary airline allow funding unprofesionalism dumbness yes course made screenshot chat live agent publish later anecdote,3178,"{'neg': 0.162, 'neu': 0.766, 'pos': 0.071, 'compound': -0.996}",-0.996,negative,negative
1,cheap nasty,using website manage stage booking could seriously shorten life badly perhaps well designed frustrate whether checking printing boarding pa sending barcode phone modifying booking etc etc airport left choice print boarding card one kiosk another level pain altogether cheap airline competitor region become inefficient arrogant make hobson choice,299,"{'neg': 0.245, 'neu': 0.719, 'pos': 0.036, 'compound': -0.9042}",-0.9042,negative,negative
1,worst service life,chinese new year parent booked ticket back johor booked ticket time shown flight went airport realized time flight change informed u quickly went self check machine check machine show cant check anymore must check hour time flight time reach customer service airasia girl counter tell u must check min flight explained informed u change time ask help u rejected u want help say problem arrived time problem plane started boarding possible board plane time min call air stewardess call told u able check mum beg still refuse try call end miss flight parent able dinner grandma able check time ask miss flight waste money,516,"{'neg': 0.151, 'neu': 0.779, 'pos': 0.07, 'compound': -0.8442}",-0.8442,negative,negative
3,shanghai manila twice,used fly shanghai manila return actual flight ok delayed something happens china quite lot booking ticket using official website difficult due fact site seem work properly used different one instead trip com service board aircraft ok although air steward miss opportunity make quick buck come selling thing passenger check manila good e check boarding pa printer actually work save awful amount time check luggage put plane however check shanghai pudong typically chinese tedious allow online check line even one carry bag check staff pudong also typically cold unfriendly airport actually get pay budget airline bad manila check nice hassle free experience,557,"{'neg': 0.134, 'neu': 0.693, 'pos': 0.174, 'compound': 0.7096}",0.7096,positive,neutral
1,low quality airline airasia,nevery trust upon low cost rather low quality airline baggage missing last one year support receive airline email blue moon asking received missing luggage perhaps staff concerned department either illiterate sort blind missing luggage delivered must got signed strategy behind sending email asking question,264,"{'neg': 0.243, 'neu': 0.649, 'pos': 0.108, 'compound': -0.6705}",-0.6705,negative,negative
4,content fly air asia,realise may lucky happy customer first bad couple issue several year flying multiple flight air asia recently kul turned back security gate laptop backpack weighing kg unaware annoyed early could put carryon case checkin extra charge checkin staff sympathetic also able book fly ticket suratthani sydney lost premium free lounge pa exit enter kul without checkin still confused one horror air asia ceased partnership optiontown previously got great seat flattish bed option low cost sad see kul suratthani route axed however never delayed air asia unlike jetstar qantas fa young cheerful good value self booking site tricky first time practise make perfect quiet zone ie kid boon route great food ok thai air asia particular plane clean little bumpy time smaller big plus flythru ticket early morning get melee dmk airport immigration transit lounge designated immigration official stamp passport keep flying happily,775,"{'neg': 0.122, 'neu': 0.621, 'pos': 0.257, 'compound': 0.9784}",0.9784,positive,positive
1,deserve star,deserve star website faulty unstable yet refused admit mistake made consumer pay shortfall took month respond case helpful finally received respond last option flight service provider,158,"{'neg': 0.314, 'neu': 0.552, 'pos': 0.134, 'compound': -0.6369}",-0.6369,negative,negative
1,budget max,email show hour prior flight arrived asked get earlier flight told flight delayed well guess hour flight delay plus hour sitting tarmac asked water told peso would think least complimentary water would offered point,182,"{'neg': 0.171, 'neu': 0.775, 'pos': 0.054, 'compound': -0.5432}",-0.5432,negative,negative
1,worst airline ever,worst airline ever slow urorganized flight time destination one counter must thr airport hour perior flight departure made miss flight min late intend slow suggested fly ship baggage next flight refused forced buy new ticket kl langkawi non respectful company last time fly airasia,238,"{'neg': 0.206, 'neu': 0.737, 'pos': 0.057, 'compound': -0.7845}",-0.7845,negative,negative
5,quick online perfect,nowadays like give credit soon see something good happening easy criticise everything trying different positive approach made name mistake one booking airasia immediately contact via automated chat got real person still via automated chat resolved issue le minute question phone call nothing way customer service thanks airasia,281,"{'neg': 0.085, 'neu': 0.609, 'pos': 0.306, 'compound': 0.9153}",0.9153,positive,positive
1,bother,customer service non existent value money smoke mirror better option available bet,71,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.6486}",0.6486,positive,negative
1,bad customer service experience,hi posting review hope representative airasia handle case please refer case id briefly airasia delayed rescheduled flight kota kinabalu singapore nov nov hoping claim direct incidental cost airasia previously submitted case twice unfortunately frustratingly airasia failed respond made follow call last night surprisingly agent said airasia closed case extremely shocked airasia even attempt contact unilaterally decided closing case even mentioning accountability serious flight delay regular customer little confidence airasia handle customer service appreciate someone assist take action thank ct,521,"{'neg': 0.168, 'neu': 0.649, 'pos': 0.184, 'compound': 0.3847}",0.3847,positive,negative
1,terrible airline never fly,terrible airline never fly constantly change flight time unreliable airline company,73,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative,negative
1,useless customer service,air asia cancelled two flight indonesia took week several online form eventually visit air asia office mueang airport bangkok put alternative flight online chat always busy unobtainable november find december flight kuala lumpur kathmandu back january cancelled without notification august result meant found klia airport december refund claim given past experience doubt resolved without visiting air asia office update air asia refunded money yesterday day applied fair play score however acted properly first place told cancelled return flight august could made arrangement wasted time money going kuala lumpur star rating remains unchanged shamble,559,"{'neg': 0.113, 'neu': 0.824, 'pos': 0.062, 'compound': -0.6486}",-0.6486,negative,negative
3,quot dear air asia india,dear air asia india naveen kumar regular domestic traveler would like express appreciation thankfulness staff air asia coming delhi goa dec suddenly got cold headache flight flight attendant specially miss deepika helped u giving medicine thankful much needed help provided u definitely fly air asia india future also suggestion please improve customer care training system feedback call number mob,340,"{'neg': 0.02, 'neu': 0.562, 'pos': 0.418, 'compound': 0.9819}",0.9819,positive,neutral
5,ground staff kolkata airport mr sutanu banerjee,dec ccu bbi hr pnr omrkfi ground staff counter mr sutanu banerjee welcome hospitality good appreciate service,93,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.8225}",0.8225,positive,positive
1,air asia make u pay system bug,booked flight online air asia web site everything seemed fine booking booked march flight hong kong chiang mai got confirmation noticed march logged portal saw birth date three passenger one day earlier actual birth date booked many many time online various airline never made date mistake double check date final submit thought well chance entered wrong date hit back button multiple time browser get back original booking request page showed march suspect date issue one day time zone wise also strange booking date one day later birth date one day earlier called told must bug website date incorrect asked change booking birth date told changing birth date could emailed passport photo would kind accept comfortable emailing passport info sent screen shot could browser avail got email bounced message three different email account yet receive email called yet complain worst would change travel date without charging u change fee would cost price original ticket add insult injury purchased cancellation insurance said could used advice traveler use risk lost bunch money ticket cannot use something fault cancel credit card either protected policy whole incident leaf feeling airline bad business practice leaf wondering done purpose based unwillingness listen reason,1077,"{'neg': 0.127, 'neu': 0.727, 'pos': 0.146, 'compound': 0.3599}",0.3599,positive,negative
4,genuine testimony,genuine testimony relates flying experience air asia x extends airline flew london stanstead airport klia lct november th sydney klia includes vietnam return term inflight service aircraft airline national carrier malaysia cabin crew young enthusiastic airbus comfortable especially know sit added stupid insistence window blind pulled datime flight low cost airline passenger fly knowing fare purchased complaint food need purchase extra age bracket regular long haul passenger,412,"{'neg': 0.134, 'neu': 0.762, 'pos': 0.103, 'compound': -0.34}",-0.34,negative,positive
1,need someone airasia response,need someone airasia response case asap case number airasia cancelled fight people ticket plus additional luggage fee response airasia refund confirmation anyone could help go next step someone airasia need refund confirmation asap,199,"{'neg': 0.122, 'neu': 0.771, 'pos': 0.106, 'compound': -0.1531}",-0.1531,neutral,negative
1,terrible customer service,terrible customer service even trying help require explanation multi city function website broken bring old interface book specific city change term condition multiple time overall deceiving experience wish never fly,187,"{'neg': 0.221, 'neu': 0.641, 'pos': 0.138, 'compound': -0.4939}",-0.4939,negative,negative
1,worst customer service ever,worst customer service ever bought giftcard airasia website however buy wont receive giftcard day later dont tell c made payment however edited c still get money back next value giftcard used one purchase giftcard buy ticket worth remaining lost,207,"{'neg': 0.146, 'neu': 0.755, 'pos': 0.098, 'compound': -0.4767}",-0.4767,negative,negative
1,flight cancellation twice without notification delay,bought return ticket early march flying kuala lumpur osaka end october cancellation made airasia without notice whatsoever notice email given noticed change website st cancellation made somewhere june early july original flight osaka canceled moved day later original filed complaint email twitter expressed dissatisfaction cancellation change without notice immediately request flight change date preferable entitled free reschedule moved date early november nd cancellation made soon reschedule done early july till early august scenario previous notification noticed change website filed another complaint twitter thing either get refund free reschedule nothing else noticed complaint delay difficulty getting refund airasia decided make another flight reschedule late november departure flight november tomorrow early morning today received email informing u delay flight hour frustrating yet worried another delay flight later another note response airasia customer care support team disappointing response received twitter somewhat acceptable took hour day reply long decided date reschedule somehow managed get done quickly however response email complaint first cancellation made mid july end august already made second reschedule mid august second cancellation without notice email reflecting first cancellation first reschedule made july soon email cancellation notice sent inbox notify first cancellation month even valid time anymore,1251,"{'neg': 0.132, 'neu': 0.774, 'pos': 0.094, 'compound': -0.7501}",-0.7501,negative,negative
5,cheap amp reliable,cheap reliable best choice go asia without bankrupted,46,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6369}",0.6369,positive,positive
1,zero customer service,flown many year many flight airasia last flight airasia flight fd jaipur bangkok th november asked glass normal filtered water take blood thinning tablet given cup luke warm water came around trying sell putrid smelling food asked cup cold water refused steward scc worawit soparkditha pong saying sell bottle water year flying first time happened wow airasia really become thai style money money money delayed hour minute apology omg airasia happened customer service,396,"{'neg': 0.052, 'neu': 0.861, 'pos': 0.087, 'compound': 0.4215}",0.4215,positive,negative
3,two compaints,high fee using payment card standard payment method world call convenience fee spam quite big consideration previous setting everything expected fine service,136,"{'neg': 0.103, 'neu': 0.823, 'pos': 0.074, 'compound': -0.1779}",-0.1779,neutral,neutral
1,worst handling complaint ever,erase airasia trying month get refund flight problem booking book another flight real ordeal danang vietnam payoo system work office closed reason worst part handle customer complaint operate tell submit case filling form answer complaint quick unsatisfactory manner answer argument close case without consent obviously case resolved open case expain etc must sent message evidence picture screenshots etc really sick either stupidity bad faith hardly read complaint pretend miss point either way useless handling case avoid share,454,"{'neg': 0.348, 'neu': 0.587, 'pos': 0.066, 'compound': -0.9773}",-0.9773,negative,negative
4,worry,flight airasia manila puerto princesa scared reading awful review everything ok careful transaction fee man person would give spaghetti bolognese flight,132,"{'neg': 0.221, 'neu': 0.637, 'pos': 0.142, 'compound': -0.4767}",-0.4767,negative,positive
1,airasia broken customer support system,early september forced request cancellation holiday trip uk india due unforeseen medical problem requiring internal surgery notified airasia requested cancellation flight booked late october within india refund ticket price airasia system open case number request supporting doc submitted message come reply email address used sends back delivered message day airasia system notifies due response received customer case closed opened consecutive case thing despite giving airasia one month notice mean sell seat passenger lost full price two return ticket agree reviewer airasia designed system prevent passenger successful claim recommend people use airasia review posted oct passenger mosca uk booking ehmmy,611,"{'neg': 0.087, 'neu': 0.766, 'pos': 0.146, 'compound': 0.6969}",0.6969,positive,negative
1,thai airasia truly world worst airline,wish come first airasia thai airasia called booking far worst airline ever experienced every single one flight booked thailand changing anywhere hour almost one course tied various connection transfer longer work policy refund change hour unbelievable,216,"{'neg': 0.099, 'neu': 0.793, 'pos': 0.108, 'compound': -0.1531}",-0.1531,neutral,negative
1,ridiculous payment processing charge problematic payment processing system,payment processing never seems working yet airasia charging whopping sgd payment via credit debit card air operator malaysia issue charge customer processing payment,143,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3818}",0.3818,positive,negative
1,worst irresponsible commercial airline,worst irresponsible commercial airline frequent flyer around world supposed travel airasia recently worst thing happened denied checking claiming visa issue related transit expect care knowledge checkin apparently due worst procedure lacking process tell anything bought ticket checked online refused checking spot airport cost fortune buy contingency ticket another airline night holiday fully ruined guy filed complaint smell responsiveness contrary staff spoke face face airport completely irresponsible damage caused refusing even refund anything mention huge inconvenience cost buying alternative flight losing time holiday staying hotel temporarily losing stay hotel terrible terrible experience throw away money add penny choose another airline lose money holiday horrible airline,684,"{'neg': 0.368, 'neu': 0.541, 'pos': 0.091, 'compound': -0.9909}",-0.9909,negative,negative
1,business model care assist father dy,cancel trip japan kl today father passed away grief trying settle thing trying reduce impact damage also try cnx airasia trip spend hour call chat filling webforms succes business model deal cancellation asking ticket refund refund fuel surcharge airline tax entitled airasia get refunded board refund gt airasia fly airasia great airline book board dont expect anything else keep mind,326,"{'neg': 0.119, 'neu': 0.764, 'pos': 0.117, 'compound': -0.0258}",-0.0258,neutral,negative
1,awful,awful unresponsive support point promised nothing wasted time month,59,"{'neg': 0.19, 'neu': 0.316, 'pos': 0.495, 'compound': 0.5897}",0.5897,positive,negative
1,would never recommend airline anyone,would never recommend airline anyone customer service horrible please understand write bad review experience bad point cried got really angry case round trip flight saigon phuket cost ended spending total charged check bag twice charged check bag saigon bangkok hour layover bangkok phuket said let bag go way phuket saigon odd reason basically money hungry scam airline horrible company one lady soooo rude actually ended cry already bad experience favor please avoid pay much money fly treated like crap get bombarded hidden fee posting review else much really dislike airline hurt experience,503,"{'neg': 0.408, 'neu': 0.519, 'pos': 0.074, 'compound': -0.9915}",-0.9915,negative,negative
3,used service airline,used service airline time staff polite want eat board better plan beforehand buying lunch ticket save money choice food bad significant disadvantage refusal free drinking water even said ill needed take pill water given,186,"{'neg': 0.191, 'neu': 0.546, 'pos': 0.263, 'compound': 0.34}",0.34,positive,neutral
1,airasia bad airline commitment,airasia bad airline book jkt narita ticket issue month booking get email airasia cancel route give option reschedule another route transit refund know option give disadvantage passanger one advantage dont think big airline asia commitment lier poor customer service especially name aldi give solution think goverment must give punishment airasia,296,"{'neg': 0.23, 'neu': 0.661, 'pos': 0.109, 'compound': -0.8271}",-0.8271,negative,negative
1,horrible online check process,horrible website really bad cumbersome online check process online payment work forced sign loyalty program check in,100,"{'neg': 0.384, 'neu': 0.485, 'pos': 0.131, 'compound': -0.7778}",-0.7778,negative,negative
1,high fee visa credit card,high fee visa credit card trying earn money non sense fee use credit card find cheap price last step complete payment trap one trip usd two person usd fee use credit card programmer implemented many payment gateway fee necessary cent trap business earn money nothing,222,"{'neg': 0.088, 'neu': 0.763, 'pos': 0.149, 'compound': 0.4939}",0.4939,positive,negative
1,terrible website app,airasia guilty wholly uncaring totally incapable booking new flight entrapping customer forced pay additional fee due incompetence web designer firstly paying app absolutely work payment never go despite attempting different time several day different debit credit card using website provide personal detail make account website fill would problem however incorrectly fill form forcing waste valuable time money receiving issuance ticket would worthy bad review fact correct information database proceeds fill incorrect information passenger detail section truly entrapment depraved giving false sense confidence could design website capable function year old could implement namely copying pasting information correctly entirety,633,"{'neg': 0.18, 'neu': 0.66, 'pos': 0.159, 'compound': -0.3804}",-0.3804,negative,negative
1,absolutely disgraceful,absolutely disgraceful ill mannered completely useless support staff made purchase via website detail flight okay went payment came complete payment name changed random cookie grabbed mess month ago solution buy flight return get useless credit previous flight aka pay u money maybe yes used word maybe give credit wont use basic extortion refuse communicate mastercard refuse answer claim officially email provided screenshots showing issue website happen well screenshots proving typed name booking well video showing took hour even get livechat taken whole month answer need time cant put complaint long took simply closed without even looking close case provide answer attitude awful constantly try mislead agreeing poor offer saying give credit first going back basically think cave holiday act like blackmailer astonished awful allowed operate grand scale provided product buy refuse change give refund think somehow acceptable theft complete utter scum unfortunately booked previously also found charged incorrect amount incorrect currency avoid company cost worth,917,"{'neg': 0.177, 'neu': 0.617, 'pos': 0.206, 'compound': 0.5996}",0.5996,positive,negative
1,terrible experience air asia,terrible experience travel air asia paid full amount ticket colombo bali stop u counter payment system called bank confirm money transaction air asia philippine let u fly pay fly day waiting refund body responsible please care full think twice purchasing ticket air asia pouyan,234,"{'neg': 0.133, 'neu': 0.713, 'pos': 0.154, 'compound': 0.2732}",0.2732,positive,negative
1,canceled flight trying,canceled flight trying get contact nearly week email live chat twitter spent hour still resolved issue refund flight using air asia lot year never use think scamming live chat work twitter responding sincepm pm still answer,188,"{'neg': 0.0, 'neu': 0.954, 'pos': 0.046, 'compound': 0.1779}",0.1779,neutral,negative
1,flight kl terengganu,flight kl terengganu changed outward return previously booked seat flight since change reserved seat go back web site emailed asked refund concerned exercise money building one actually confirm yet replied request refund given concern page feeling suspicion may right please air asia prove u wrong would awful shame habitual relentless way airline increase wealth trick ruined day caused let arrival return day cost sometimes pay little pay twice john ruskin say actually give refund,410,"{'neg': 0.211, 'neu': 0.671, 'pos': 0.117, 'compound': -0.8126}",-0.8126,negative,negative
1,customer support exist,customer support exist tried option live chat email messenger malaysia call dedicated aa x passenger totally respond aa terrible aa cancelled flight moved earlier flight initial booking value pack picked seat resend new itinerary surprisingly picked seat gone need pick seat charged extra fee question aa one intended make change aa made change one need pay extra fee regrettably today couldnt get respond,343,"{'neg': 0.154, 'neu': 0.708, 'pos': 0.138, 'compound': -0.0679}",-0.0679,neutral,negative
1,website suck,website suck customer care even try solve anything,43,"{'neg': 0.225, 'neu': 0.388, 'pos': 0.388, 'compound': 0.2732}",0.2732,positive,negative
1,extortion extra bag poor customer service,extortion extra bag fee one checked bag flight roughly price never mentioned email needed something ahead time rude customer service kept telling calm even though speaking normal volume also bear mention queue incredibly long service slow avoid air asia,215,"{'neg': 0.12, 'neu': 0.828, 'pos': 0.053, 'compound': -0.4404}",-0.4404,negative,negative
1,customer support exist,literally thing live chat customer support moment log instantly stop option countless experience airasia moment buy ticket would avoid customer interaction make virtually impossible contact,165,"{'neg': 0.151, 'neu': 0.756, 'pos': 0.093, 'compound': -0.1779}",-0.1779,neutral,negative
1,booked air asia flight frommumbai sydney via kuala lampur,booked air asia flight mumbai syd book additional baggage check leg journey one contacted customer care day departure told could pay counter boarding flight however staff mumbai airport manager anish team harsh rude insensitive situation denying mode payment demanding cash nri carry inr limited aud wanted use inflight meal etc however demanding rude gone extent sneaking purse persuade exchange aud inr right airport pay cash worst professionalism display industry resisted ordered baggage removed board another flight air asia business model customer service level humanity one hour argument losing energy ending sore throat accepted card payment realised running late danger missing flight may boast affordable airline strongly advice traveller fall trap cheap air ticket air asia avoid ripped appalling service ridiculous staff,712,"{'neg': 0.313, 'neu': 0.626, 'pos': 0.061, 'compound': -0.9861}",-0.9861,negative,negative
1,rude ground staff never use air asia,rude ground staff especially malaysia cramped seat ever seen next time definitely pay extra fly respected airline,97,"{'neg': 0.19, 'neu': 0.56, 'pos': 0.25, 'compound': 0.34}",0.34,positive,negative
3,used good,used good plenty destination good deal lately started charge extra everything limitation kg hand luggage total nonsense,103,"{'neg': 0.189, 'neu': 0.463, 'pos': 0.347, 'compound': 0.6249}",0.6249,positive,neutral
1,unprofessional worst experiance ever,buggy website load time wasted time wasted getting nowhere due refund never paid changed bank account bought ticked tried refund old account returned guess believe think trying scam sent query never get response closed complaint prematurely worst experiance ever say hear u shortly never please avoid professional company,274,"{'neg': 0.341, 'neu': 0.629, 'pos': 0.03, 'compound': -0.96}",-0.96,negative,negative
1,worst imaginable customer service,worst imaginable customer service deserve even star,45,"{'neg': 0.406, 'neu': 0.594, 'pos': 0.0, 'compound': -0.6249}",-0.6249,negative,negative
1,worst customer service,worst customer service come across flight min one kalibo manila delayed hour email early morning warning delay saying due kalibo airport closed staying right across road airport went look airport functionally normal since coming home contact called customer service number time asking explanation get fobbed even delay hr guarantee insurance mind field trying claim want many different documentation,342,"{'neg': 0.192, 'neu': 0.74, 'pos': 0.068, 'compound': -0.8555}",-0.8555,negative,negative
1,support scam,support scam tried reset password complete e form least three time still satisfaction claim trace previous email trace previous eform hopeless,122,"{'neg': 0.237, 'neu': 0.565, 'pos': 0.198, 'compound': -0.2732}",-0.2732,negative,negative
1,buggy website indecent sale service,buggy website changed flight month supposed th feb got itinerary th march instead say investigate need day work success change travel date free whereas assurance possibility success appeal rd feb end pay penalty order change travel date oh also said change travel date appeal going dismissed,246,"{'neg': 0.077, 'neu': 0.696, 'pos': 0.228, 'compound': 0.8658}",0.8658,positive,negative
1,paid twice get window seat,july reserved paid window seat flight cebu city taipei later advised flight postponed day january tried get boarding pa done internet surprise seat anymore window seat without warning extra fee moved window seat area suddenly could properly get boarding pa without paying extra fee window seat sent e mail situation first one pay reply others time wait average hour get chat service agree something wrong nothing done airport pay seat get boarding pa positive note air asia inexpensive airliner,416,"{'neg': 0.088, 'neu': 0.796, 'pos': 0.116, 'compound': 0.5478}",0.5478,positive,negative
1,live chat,live chat queue number dwindles suddenly different number suddenly waiting around min queue number number queue number suddenly went totally frustrated thing happen worst service,154,"{'neg': 0.241, 'neu': 0.557, 'pos': 0.201, 'compound': -0.7425}",-0.7425,negative,negative
1,worse experience airasia,worse experience air asia time travel flight destination time required quite disastrous today found worse customer support hotline number air asia x queue min online chat problem properly resolved automatically disconnect close online chat logged cant even read chat history im definitely putting effort go place airline available,283,"{'neg': 0.216, 'neu': 0.645, 'pos': 0.139, 'compound': -0.7713}",-0.7713,negative,negative
1,bad service,bad service unreasonable company providing help need wo,48,"{'neg': 0.287, 'neu': 0.492, 'pos': 0.221, 'compound': -0.2023}",-0.2023,negative,negative
1,useless customer service,flight booked airasia found afterwards supposed hurricane day contacted customer service find cover enough flight refunded case flight going cancelled need get different one took day reply asking info already clearly stated initial email obviously trying waste time end time got back u already destination completely useless,278,"{'neg': 0.15, 'neu': 0.799, 'pos': 0.051, 'compound': -0.6361}",-0.6361,negative,negative
1,airasia robbed u,airasia robbed u charged u excess baggage system error requested verify many time nothing happened requested qld fair trading accc answer force trader refund need attend qcat curtain address australia per overcharged airport tax kid year accc nothing let refund correct even airasia overcharged year matter verify investigate robbery charged year airasia responded incorrectly charged also inquired department immigration boarder security airasia repaid airport tax passenger movement charge since first year charge people paid department correctly since first year come know error wish would organization investigate matter,538,"{'neg': 0.113, 'neu': 0.786, 'pos': 0.101, 'compound': -0.296}",-0.296,negative,negative
5,good cheap,many destination cheap best airline avid traveler small budget ar really good,66,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.8622}",0.8622,positive,positive
2,traveled flight number,traveled flight number jaipur pune rd november flight unduly delayed hour unnecessarily miss bus pune goa cost inr hassle uncalled unprofessional irritating,135,"{'neg': 0.349, 'neu': 0.605, 'pos': 0.046, 'compound': -0.8176}",-0.8176,negative,negative
5,highly recommended,travel air asia regularly especially kuala lumpur sydney route service great budget airline comfort issue got paid highly recommended,115,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.8268}",0.8268,positive,positive
